#OH abundances NGC628
#Dust correction Cardelli et al. 1989
#Col1 = radio normalizado a R25
#Col2 = OH_MRC, polinomio orden 5
#Col3 = OH_O3N2
#Col4 = OH_N2
#Col5 = OH_ONS 
0.23,8.47,8.34,8.54,8.26
0.45,8.48,8.37,8.47,8.38
0.43,8.27,8.36,8.48,8.31
0.24,8.57,8.53,8.5,8.59
0.4,8.32,8.36,8.47,8.31
0.31,8.3,8.48,8.49,8.47
0.28,8.45,8.59,8.5,8.66
0.4,8.47,8.36,8.49,8.25
0.35,8.39,8.4,8.49,8.36
0.45,8.48,8.27,8.48,8.14
0.23,8.39,8.52,8.49,8.53
0.62,8.37,8.41,8.48,7.9
0.29,8.59,8.49,8.47,8.48
0.67,8.34,8.3,8.39,8.32
0.46,8.41,8.44,8.48,8.48
0.55,8.39,8.31,8.41,8.34
0.58,8.34,8.26,8.38,8.39
0.17,8.39,8.47,8.44,8.48
0.19,8.38,8.52,8.44,8.57
0.43,8.38,8.48,8.52,8.47
0.27,8.43,8.45,8.49,8.44
0.27,8.42,8.41,8.5,8.31
0.5,8.51,8.41,8.44,8.43
0.15,nan,8.53,8.5,nan
0.13,8.4,8.5,8.48,8.5
0.25,8.3,8.44,8.49,nan
0.65,8.34,8.27,8.41,8.3
0.34,8.39,8.45,8.48,8.44
0.4,8.32,8.43,8.48,nan
0.48,8.39,8.37,8.44,8.44
0.04,nan,8.53,8.53,nan
0.24,8.49,8.45,8.48,8.41
0.36,8.36,8.3,8.45,8.16
0.29,nan,8.4,8.52,8.26
0.45,8.44,8.41,8.48,8.38
0.36,nan,8.31,8.46,nan
0.13,nan,8.53,8.47,nan
0.62,8.36,8.4,8.47,7.96
0.16,8.68,8.49,8.46,8.51
0.5,8.39,8.43,8.5,8.47
0.65,nan,8.19,8.41,nan
0.14,8.29,8.47,8.44,nan
0.46,8.47,8.36,8.47,8.35
0.52,8.39,8.36,8.48,8.32
0.51,8.41,8.3,8.46,8.34
0.35,nan,8.34,8.49,8.2
0.62,8.51,8.26,8.42,8.22
0.39,8.39,8.39,8.48,8.43
0.18,nan,8.53,8.46,nan
0.43,8.49,8.37,8.47,8.36
0.18,8.54,8.27,8.49,nan
0.2,8.24,8.26,8.44,nan
0.28,8.35,8.45,8.47,8.44
0.16,8.41,8.38,8.48,8.28
0.44,8.5,8.48,8.49,8.53
0.55,8.36,8.32,8.45,8.28
0.38,8.21,8.36,8.53,8.27
0.43,8.36,8.35,8.49,8.3
0.32,8.5,8.57,8.49,8.64
0.54,8.4,8.37,8.48,8.33
0.03,nan,8.53,8.49,nan
0.7,8.36,8.28,8.45,nan
0.45,8.5,8.44,8.47,8.47
0.37,8.82,8.31,8.48,8.17
0.28,nan,8.53,8.47,nan
0.56,8.45,8.33,8.44,8.31
0.12,8.52,8.54,8.45,nan
0.38,8.52,8.43,8.47,8.44
0.4,8.61,8.52,8.51,8.56
0.52,8.46,8.34,8.47,8.3
0.6,8.51,8.43,8.46,8.45
0.28,8.39,8.49,8.46,8.52
0.33,8.44,8.53,8.49,8.6
0.21,nan,8.53,8.46,nan
0.05,nan,8.53,8.47,nan
0.26,8.73,8.26,8.51,nan
0.13,8.61,8.5,8.49,8.54
0.24,nan,8.22,8.43,nan
0.13,nan,8.39,8.58,nan
0.15,nan,8.52,8.55,nan
0.23,nan,8.53,8.45,nan
0.26,8.38,8.45,8.49,8.45
0.23,nan,8.53,8.43,8.45
0.02,nan,8.53,8.45,nan
0.19,8.46,8.51,8.41,nan
0.54,8.45,8.41,8.49,nan
0.22,nan,8.39,8.5,nan
0.25,8.05,8.52,8.53,nan
0.25,8.32,8.3,8.5,8.14
0.29,8.36,8.55,8.53,8.53
0.49,8.36,8.41,8.5,8.39
0.23,nan,8.53,8.43,nan
0.38,8.48,8.36,8.45,8.35
0.34,nan,8.44,8.5,nan
0.46,nan,8.28,8.49,nan
0.33,8.34,8.48,8.48,8.5
0.13,nan,8.48,8.53,nan
0.18,8.2,8.48,8.51,nan
0.66,8.37,8.36,8.47,nan
0.28,8.19,8.53,8.58,nan
0.06,nan,8.53,8.42,nan
0.36,8.32,8.33,8.49,8.26
0.49,8.41,8.44,8.46,8.5
0.13,nan,8.53,8.51,nan
0.22,nan,8.47,8.48,nan
0.7,8.44,8.38,8.47,nan
0.13,8.29,8.48,8.46,nan
0.35,nan,8.53,8.44,nan
0.23,nan,8.31,8.44,nan
0.51,8.45,8.36,8.46,8.37
0.23,8.41,8.49,8.51,8.51
0.38,8.38,8.37,8.48,8.33
0.37,nan,8.31,8.49,nan
0.23,nan,8.27,8.51,nan
0.28,nan,8.38,8.5,nan
0.13,8.59,8.38,8.45,nan
0.5,8.39,8.4,8.49,8.34
0.18,nan,8.53,8.47,nan
0.48,8.29,8.47,8.49,nan
0.25,8.68,8.5,8.54,8.59
0.38,8.44,8.52,8.48,8.59
0.5,nan,8.32,8.48,8.18
0.57,8.4,8.33,8.46,nan
0.22,8.73,8.34,8.48,8.2
0.32,8.5,8.39,8.57,8.26
0.33,8.28,8.39,8.5,8.26
0.3,8.65,8.32,8.52,8.15
0.19,nan,8.53,8.46,nan
0.46,8.35,8.39,8.53,nan
0.57,8.44,8.35,8.43,nan
0.35,nan,8.53,8.74,nan
0.19,nan,8.53,8.44,nan
0.6,nan,8.5,8.43,nan
0.32,nan,8.29,8.44,nan
0.59,8.48,8.42,8.47,nan
0.07,nan,8.53,8.4,nan
0.11,nan,8.53,8.37,nan
0.3,8.67,8.24,8.51,8.02
0.09,nan,8.53,8.49,nan
0.53,8.44,8.43,8.49,8.4
0.26,nan,8.24,8.46,nan
0.52,nan,8.53,8.47,nan
0.18,nan,8.39,8.54,nan
0.1,8.43,8.48,8.49,8.49
0.38,nan,8.32,8.51,nan
0.43,nan,8.33,8.53,nan
0.09,nan,8.53,8.74,nan
0.23,nan,8.3,8.58,nan
0.3,8.13,8.46,8.54,nan
0.26,8.34,8.33,8.51,8.18
0.26,8.46,8.56,8.5,nan
0.6,8.35,8.44,8.48,nan
0.47,8.39,8.45,8.44,nan
0.61,8.53,8.24,8.49,nan
0.23,8.17,8.29,8.43,nan
0.62,8.55,8.39,8.57,nan
0.21,nan,8.53,8.46,nan
0.36,8.4,8.39,8.52,8.34
0.3,nan,8.41,8.54,nan
0.19,8.43,8.45,8.51,nan
0.46,8.4,8.34,8.42,8.4
0.38,nan,8.53,8.5,nan
0.5,nan,8.53,8.41,nan
0.09,8.38,8.44,8.52,8.43
0.52,nan,8.28,8.52,nan
0.21,8.38,8.46,8.54,nan
0.3,nan,8.53,8.74,nan
0.7,8.39,8.51,8.56,nan
0.23,9.01,8.29,8.48,8.12
0.4,8.38,8.5,8.5,8.58
0.59,nan,8.53,8.49,nan
0.06,8.49,8.46,8.54,nan
0.4,8.32,8.41,8.51,nan
0.5,8.64,8.37,8.48,8.28
0.09,8.09,8.34,8.47,nan
0.48,nan,8.53,8.74,nan
0.55,8.39,8.36,8.46,nan
0.27,nan,8.53,8.5,nan
0.59,nan,8.38,8.46,nan
0.55,nan,8.37,8.48,nan
0.5,nan,8.27,8.45,nan
0.35,nan,8.26,8.52,8.05
0.43,nan,8.38,8.41,nan
0.5,nan,8.31,8.54,nan
0.37,nan,8.53,8.74,nan
0.23,nan,8.53,8.74,nan
0.04,nan,8.53,8.74,nan
0.38,8.4,8.53,8.49,nan
0.38,8.63,8.26,8.53,nan
0.43,8.42,8.47,8.5,nan
0.47,8.41,8.37,8.51,8.28
0.65,nan,8.53,8.43,nan
0.48,nan,8.37,8.5,nan
0.18,8.49,8.43,8.47,nan
0.54,nan,8.36,8.51,nan
0.5,8.1,8.32,8.53,nan
0.33,nan,8.4,8.52,8.28
0.38,8.27,8.25,8.44,nan
0.55,8.46,8.3,8.57,nan
0.67,nan,8.36,8.49,nan
0.1,8.11,8.25,8.59,nan
0.28,8.36,8.49,8.54,nan
0.45,nan,8.53,8.74,nan
0.55,nan,8.53,8.74,nan
0.34,8.17,8.25,8.39,nan
0.29,8.14,8.29,8.4,nan
0.56,nan,8.34,8.51,nan
0.34,nan,8.27,8.45,nan
