# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# Number_Arms: 2, Number of Arms detected
# Quality_Arms_Analysis: 1, 0= Bad Arms FIT, 1 = Good Arms FIT
# BAD_VALUES: nan
# COLUMN1:  ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:  RA, float, degrees, Right ascension of the HII region
# COLUMN3:  DEC, float, degrees, Declination of the HII region
# COLUMN4:  Xobs, float, arcsec, delta right ascension from the center
# COLUMN5:  Yobs, float, arcsec, delta declination from the center
# COLUMN6:  Xres, float, kpc, deprojected delta X coordinate from the center
# COLUMN7:  Yres, float, kpc, deprojected delta Y coordinate from the center
# COLUMN8:  R, float, kpc, deprojected distance to the center
# COLUMN9:  Theta, float, degrees, deprojected position angle
# COLUMN10:  N_Arm, int, , ID of the nearest ARM
# COLUMN11:  Inter_Arm, int, , 1 = HII region associated with the ARM; 0 = Inter ARM HII region
# COLUMN12:  D_min_Arm, float, arcsec, Minimum Distance to the nearest ARM
# COLUMN13:  D_Arm, float, arcsec, Spiralcentric distance, Distance along the nearest ARM
# COLUMN14:  Theta_Arm, float, degrees, Angular Distance to the nearest ARM
# COLUMN15: vel_Ha, float, km/s, Ha velocity of the ionized gas
# COLUMN16: e_vel_Ha, float, km/s, Error of the Ha velocity of the ionized gas
# COLUMN17:  log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
# COLUMN18:  e_log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
 ngc628-001        ,   24.1871,  15.7967,     49.8,    47.2,     -2.1,     2.4,      3.2,   130.6,   2,  1,     4.6,  2383.4,    -3.6,    545.2,     2.1,  39.71,  0.06
 ngc628-002        ,   24.1848,  15.7500,     41.5,  -121.0,     -1.7,    -6.1,      6.4,   254.0,   2,  1,     9.2,  3666.7,     3.8,    528.9,     2.2,  39.63,  0.10
 ngc628-003        ,   24.1631,  15.8161,    -39.7,   116.9,      1.7,     5.9,      6.1,    74.2,   1,  1,     4.8,  3666.7,    -0.6,    498.1,     2.7,  39.85,  0.10
 ngc628-004        ,   24.1538,  15.7762,    -74.7,   -26.5,      3.1,    -1.4,      3.4,   336.2,   1,  1,     7.4,  2622.0,    -0.3,    483.1,     3.7,  39.15,  0.07
 ngc628-005        ,   24.1700,  15.8141,    -14.1,   109.7,      0.6,     5.5,      5.6,    83.7,   1,  1,    24.9,  3803.6,    -3.1,    515.5,     2.8,  39.64,  0.08
 ngc628-006        ,   24.1546,  15.8017,    -71.5,    65.0,      3.0,     3.3,      4.4,    47.6,   1,  1,    15.0,  3297.4,     1.5,    480.8,     3.8,  39.54,  0.09
 ngc628-007        ,   24.1755,  15.8054,      6.5,    78.3,     -0.3,     4.0,      4.0,    93.6,   2,  1,    14.7,  2094.6,     0.7,    497.7,     5.2,  39.16,  0.08
 ngc628-008        ,   24.1620,  15.8128,    -44.0,   105.0,      1.8,     5.3,      5.6,    70.7,   1,  1,    14.0,  3536.9,    -5.5,    531.1,     5.2,  39.81,  0.12
 ngc628-009        ,   24.1584,  15.8076,    -57.6,    86.2,      2.4,     4.3,      5.0,    61.0,   1,  1,    14.4,  3414.0,    -3.4,    518.4,     6.8,  39.35,  0.10
 ngc628-010        ,   24.1683,  15.8181,    -20.3,   124.3,      0.9,     6.3,      6.3,    82.1,   1,  1,     9.1,  3803.6,    -1.2,    498.8,     6.6,  39.50,  0.07
 ngc628-011        ,   24.1639,  15.7995,    -36.7,    57.2,      1.5,     2.9,      3.3,    61.9,   2,  1,     9.8,  1837.4,     1.9,    492.5,     7.7,  39.27,  0.07
 ngc628-012        ,   24.1246,  15.8072,   -183.8,    85.1,      7.6,     4.2,      8.7,    29.1,   1,  0,    99.2,  3186.7,     9.9,    504.9,     8.0,  38.88,  0.10
 ngc628-013        ,   24.1785,  15.8056,     17.6,    79.2,     -0.7,     4.0,      4.1,   100.0,   2,  1,    16.1,  2163.9,     2.1,    503.8,    12.1,  39.51,  0.08
 ngc628-014        ,   24.1732,  15.8350,     -2.1,   185.2,      0.1,     9.4,      9.4,    89.2,   1,  1,    42.8,  4100.5,     7.9,    493.1,     5.1,  39.28,  0.08
 ngc628-015        ,   24.1390,  15.8034,   -129.9,    71.2,      5.4,     3.6,      6.5,    33.4,   1,  1,    43.6,  3186.7,     6.0,    523.8,     7.6,  38.98,  0.12
 ngc628-016        ,   24.1947,  15.7450,     78.5,  -139.0,     -3.3,    -7.0,      7.7,   244.8,   2,  1,    38.4,  3536.9,     5.8,    511.5,     6.2,  39.18,  0.08
 ngc628-017        ,   24.1615,  15.7400,    -45.8,  -157.1,      1.9,    -8.0,      8.2,   283.2,   2,  1,     5.8,  4261.5,     2.0,    524.8,     3.2,  39.21,  0.10
 ngc628-018        ,   24.1614,  15.7913,    -46.2,    27.8,      1.9,     1.4,      2.4,    35.9,   2,  1,     1.3,  1666.2,     1.2,    502.6,     6.6,  39.34,  0.07
 ngc628-019        ,   24.1645,  15.7961,    -34.5,    44.8,      1.4,     2.3,      2.7,    57.4,   2,  1,     2.2,  1778.2,    -2.2,    493.4,     6.2,  39.29,  0.07
 ngc628-020        ,   24.1572,  15.7531,    -61.9,  -109.8,      2.5,    -5.6,      6.1,   294.5,   2,  0,    48.0,  4261.5,   -11.2,    494.0,     8.5,  38.85,  0.08
 ngc628-021        ,   24.1983,  15.7854,     92.0,     6.6,     -3.8,     0.4,      3.8,   174.6,   2,  1,    12.6,  2794.6,     6.1,    517.8,     9.0,  39.03,  0.07
 ngc628-022        ,   24.1953,  15.7742,     80.7,   -33.7,     -3.4,    -1.7,      3.8,   206.6,   2,  1,     5.7,  2981.5,    -1.3,    504.5,     7.0,  39.53,  0.07
 ngc628-023        ,   24.1626,  15.8217,    -41.8,   137.1,      1.8,     6.9,      7.1,    75.7,   1,  1,    16.1,  3666.7,    -2.4,    517.5,     9.0,  39.08,  0.09
 ngc628-024        ,   24.1840,  15.7760,     38.4,   -27.3,     -1.6,    -1.4,      2.1,   220.6,   1,  1,     2.8,  1613.1,    -2.0,    498.9,    12.8,  39.78,  0.09
 ngc628-025        ,   24.1613,  15.7837,    -46.6,     0.4,      1.9,     0.0,      1.9,     0.1,   2,  1,     5.3,  1464.2,    -3.8,    488.3,    11.2,  39.05,  0.07
 ngc628-026        ,   24.1744,  15.7643,      2.6,   -69.6,     -0.1,    -3.5,      3.5,   268.0,   1,  1,     4.9,  1961.9,    -2.6,    485.3,     8.1,  38.95,  0.08
 ngc628-027        ,   24.1281,  15.8155,   -170.7,   114.9,      7.1,     5.8,      9.1,    39.0,   1,  0,    97.9,  3297.4,     9.9,    497.7,     7.1,  39.16,  0.07
 ngc628-028        ,   24.1946,  15.7639,     78.0,   -71.0,     -3.3,    -3.6,      4.8,   227.6,   2,  1,     4.6,  3186.7,    -2.4,    501.5,     6.9,  39.13,  0.08
 ngc628-029        ,   24.1883,  15.7549,     54.3,  -103.2,     -2.3,    -5.2,      5.7,   246.3,   2,  1,     9.2,  3414.0,    -4.5,    496.7,     9.9,  38.92,  0.09
 ngc628-030        ,   24.1930,  15.8172,     72.0,   121.0,     -3.0,     6.1,      6.8,   115.7,   1,  1,    29.0,  4431.6,    -5.6,    519.7,     5.3,  39.07,  0.09
 ngc628-031        ,   24.1704,  15.7843,    -12.5,     2.4,      0.5,     0.1,      0.5,    12.7,   1,  1,     1.5,    30.3,     1.3,    517.8,    11.4,  39.83,  0.11
 ngc628-032        ,   24.1532,  15.7907,    -76.9,    25.4,      3.2,     1.3,      3.4,    21.5,   1,  1,    17.7,  2981.5,    -1.9,    497.4,    13.4,  39.03,  0.09
 ngc628-033        ,   24.1713,  15.8114,     -9.2,   100.1,      0.4,     5.1,      5.1,    85.4,   1,  0,    35.7,  3803.6,    -5.2,    506.4,    10.7,  39.61,  0.10
 ngc628-034        ,   24.1943,  15.7695,     76.8,   -50.7,     -3.2,    -2.5,      4.1,   218.5,   2,  1,     7.5,  3081.6,    -2.7,    512.8,    10.6,  39.94,  0.09
 ngc628-035        ,   24.1659,  15.8183,    -29.3,   125.0,      1.2,     6.3,      6.4,    78.8,   1,  1,     8.8,  3803.6,     2.7,    532.4,     9.9,  39.11,  0.12
 ngc628-036        ,   24.1682,  15.8111,    -20.6,    98.8,      0.9,     5.0,      5.1,    80.0,   1,  0,    31.1,  3666.7,    -7.5,    500.1,    12.7,  39.45,  0.10
 ngc628-037        ,   24.1847,  15.7785,     41.1,   -18.4,     -1.7,    -0.9,      1.9,   208.3,   1,  1,     1.9,  1561.9,    -0.3,    495.8,    12.3,  39.47,  0.07
 ngc628-038        ,   24.1240,  15.8058,   -186.2,    79.8,      7.7,     4.0,      8.7,    27.2,   1,  0,   100.4,  3186.7,    11.5,    504.4,    25.4,  38.44,  0.11
 ngc628-039        ,   24.1597,  15.7859,    -52.4,     8.2,      2.2,     0.4,      2.2,    10.4,   2,  1,     3.4,  1512.3,    -3.4,    483.2,    12.4,  38.99,  0.09
 ngc628-040        ,   24.1395,  15.8096,   -128.2,    93.5,      5.3,     4.7,      7.1,    41.3,   1,  0,    50.6,  3297.4,     7.7,    508.6,    29.6,  38.43,  0.10
