# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# NON_PHYSICAL_VALUES: rat_Ha_Hb<2.7
# BAD_VALUES: nan
# COLUMN1:   ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:   Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux
# COLUMN3:   e_Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux Error
# COLUMN4:  rat_OII_Hb, float, , [OII]3727/Hbeta line ratio
# COLUMN5:  e_rat_OII_Hb, float, , [OII]3727/Hbeta line ratio error
# COLUMN6:   rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio
# COLUMN7:   e_rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio error
# COLUMN8:   rat_OI_Hb, float, , OI6300/Hbeta line ratio
# COLUMN9:   e_rat_OI_Hb, float, , OI6300/Hbeta line ratio error
# COLUMN10:   rat_Ha_Hb, float, , Halpha/Hbeta line ratio
# COLUMN11:   e_rat_Ha_Hb, float, , Halpha/Hbeta line ratio error
# COLUMN12:   rat_NII_Hb, float, , [NII]6583/Hbeta line ratio
# COLUMN13:  e_rat_NII_Hb, float, , [NII]6583/Hbeta line ratio error
# COLUMN14:   rat_He_Hb, float, , HeI6678/Hbeta line ratio
# COLUMN15:  e_rat_He_Hb, float, , HeI6678/Hbeta line ratio error
# COLUMN16:   rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio
# COLUMN17:  e_rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio error
# COLUMN18:   rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio
# COLUMN19:  e_rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio error
# COLUMN20:  BTP_type , float, , 0=NO.BTP; 1=SF; 2=SF/AGN; 3=AGN
 ngc628-001        ,   341.123,   20.119,    0.881,   0.156,    0.500,   0.088,    0.069,   0.060,    4.865,   0.555,    1.760,   0.372,    0.047,   0.006,    0.503,   0.099,    0.375,   0.092,  1
 ngc628-002        ,   658.303,   67.070,    1.537,   0.423,    0.589,   0.162,      nan,     nan,    3.784,   0.749,    0.958,   0.461,    0.036,   0.005,    0.438,   0.163,    0.232,   0.142,  1
 ngc628-003        ,   637.183,   29.886,    1.444,   0.240,    0.393,   0.065,    0.073,   0.036,    4.447,   0.642,    1.180,   0.489,    0.024,   0.007,    0.715,   0.079,    0.523,   0.070,  1
 ngc628-004        ,   366.646,   21.824,    0.959,   0.349,    0.196,   0.071,    0.070,   0.042,    3.245,   0.426,    0.951,   0.289,    0.020,   0.004,    0.386,   0.080,    0.316,   0.076,  1
 ngc628-005        ,   475.885,   46.844,    2.063,   0.640,    0.465,   0.144,      nan,     nan,    4.194,   0.728,    1.066,   0.420,    0.015,   0.006,    0.520,   0.151,    0.343,   0.133,  1
 ngc628-006        ,   494.803,   29.353,    1.398,   0.517,    0.191,   0.071,      nan,     nan,    3.887,   0.568,    1.091,   0.403,    0.016,   0.006,    0.544,   0.085,    0.395,   0.076,  1
 ngc628-007        ,   416.084,   53.734,    1.684,   2.156,    0.112,   0.144,      nan,     nan,    3.156,   0.655,    0.945,   0.369,    0.015,   0.008,    0.420,   0.119,    0.308,   0.105,  1
 ngc628-008        ,   328.764,   35.284,    2.085,   1.114,    0.251,   0.134,    0.104,   0.079,    5.284,   1.202,    1.539,   0.800,    0.017,   0.013,    0.841,   0.237,    0.600,   0.211,  1
 ngc628-009        ,   289.638,   34.166,    1.759,   0.703,    0.419,   0.167,    0.133,   0.096,    3.996,   0.862,    1.125,   0.524,    0.026,   0.011,    0.571,   0.155,    0.399,   0.134,  1
 ngc628-010        ,   191.421,   24.150,    2.465,   0.719,    0.762,   0.222,      nan,     nan,    4.997,   1.000,    1.345,   0.539,      nan,     nan,    0.602,   0.210,    0.333,   0.176,  1
 ngc628-011        ,   217.566,   23.724,    1.450,   1.809,    0.096,   0.119,      nan,     nan,    4.124,   0.748,    1.165,   0.426,    0.027,   0.010,    0.423,   0.157,    0.344,   0.149,  1
